Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
624,Social assistance,carbon dioxide,"kg/2018 USD, purchaser price",0.214,0,0.214,,3,3,1,3,1
624,Social assistance,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,3,3,1,1,1
624,Social assistance,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,4,1
624,Social assistance,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,3,1,4,1
711AS,"Performing arts, spectator sports, museums, and related activities",carbon dioxide,"kg/2018 USD, purchaser price",0.101,0,0.101,,3,3,1,3,1
711AS,"Performing arts, spectator sports, museums, and related activities",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
711AS,"Performing arts, spectator sports, museums, and related activities",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,3,1
711AS,"Performing arts, spectator sports, museums, and related activities",other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,4,1
713,"Amusements, gambling, and recreation industries",carbon dioxide,"kg/2018 USD, purchaser price",0.451,0,0.451,,3,3,1,3,1
713,"Amusements, gambling, and recreation industries",methane,"kg/2018 USD, purchaser price",0.003,0,0.003,,3,3,1,1,1
713,"Amusements, gambling, and recreation industries",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,4,1
713,"Amusements, gambling, and recreation industries",other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,3,1,4,1
721,Accommodation,carbon dioxide,"kg/2018 USD, purchaser price",0.215,0,0.215,,3,3,1,3,1
721,Accommodation,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
721,Accommodation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,4,1
721,Accommodation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,3,3,1,3,1
722,Food services and drinking places,carbon dioxide,"kg/2018 USD, purchaser price",0.276,0,0.276,,3,3,1,3,1
722,Food services and drinking places,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,3,3,1,1,1
722,Food services and drinking places,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,4,1
722,Food services and drinking places,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005,,4,3,1,4,1
81,"Other services, except government",carbon dioxide,"kg/2018 USD, purchaser price",0.163,0,0.163,,3,3,1,3,1
81,"Other services, except government",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
81,"Other services, except government",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
81,"Other services, except government",other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,3,1,4,1
HS,Housing,carbon dioxide,"kg/2018 USD, purchaser price",0.025,0,0.025,,3,3,1,3,1
HS,Housing,methane,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,1,1
HS,Housing,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
HS,Housing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0,0.001,,4,3,1,4,1
ORE,Other real estate,carbon dioxide,"kg/2018 USD, purchaser price",0.502,0,0.502,,3,3,1,3,1
ORE,Other real estate,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,3,3,1,1,1
ORE,Other real estate,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
ORE,Other real estate,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,3,1,3,1
